n,time_s,adc_low,adc_high,adc_low_norm,adc_high_norm
594,0.00594,0,31,0,0.12109375
595,0.00595,11,21,0.04296875,0.08203125
596,0.00596,46,25,0.1796875,0.09765625
597,0.00597,74,40,0.2890625,0.15625
598,0.00598,71,53,0.27734375,0.20703125
599,0.00599,38,50,0.1484375,0.1953125
600,0.006,7,41,0.02734375,0.16015625
601,0.00601,1,26,0.00390625,0.1015625
602,0.00602,26,21,0.1015625,0.08203125
603,0.00603,62,31,0.2421875,0.12109375
604,0.00604,77,47,0.30078125,0.18359375
605,0.00605,58,55,0.2265625,0.21484375
606,0.00606,22,49,0.0859375,0.19140625
607,0.00607,0,32,0,0.125
608,0.00608,11,21,0.04296875,0.08203125
609,0.00609,47,26,0.18359375,0.1015625
610,0.0061,75,41,0.29296875,0.16015625
611,0.00611,71,54,0.27734375,0.2109375
612,0.00612,38,53,0.1484375,0.20703125
613,0.00613,5,40,0.01953125,0.15625
614,0.00614,2,25,0.0078125,0.09765625
615,0.00615,31,21,0.12109375,0.08203125
616,0.00616,67,34,0.26171875,0.1328125
617,0.00617,76,49,0.296875,0.19140625
618,0.00618,52,55,0.203125,0.21484375
619,0.00619,17,48,0.06640625,0.1875
620,0.0062,0,29,0,0.11328125
621,0.00621,18,21,0.0703125,0.08203125
622,0.00622,56,29,0.21875,0.11328125
623,0.00623,77,45,0.30078125,0.17578125
624,0.00624,64,57,0.25,0.22265625
625,0.00625,25,50,0.09765625,0.1953125
626,0.00626,0,34,0,0.1328125
627,0.00627,9,22,0.03515625,0.0859375
628,0.00628,45,24,0.17578125,0.09375
