freq_hz,mag_db
1.310576757812500000e+04,-5.235675811767578125e+00
1.311607617187500000e+04,-5.219459056854248047e+00
1.312639257812500000e+04,-5.281150341033935547e+00
1.313671777343750000e+04,-5.194437026977539062e+00
1.314704980468750000e+04,-5.215777397155761719e+00
1.315739062500000000e+04,-5.237867355346679688e+00
1.316774023437500000e+04,-5.196834087371826172e+00
1.317809667968750000e+04,-5.244164943695068359e+00
1.318846191406250000e+04,-5.267620086669921875e+00
1.319883593750000000e+04,-5.310172080993652344e+00
1.320921679687500000e+04,-5.293368339538574219e+00
1.321960644531250000e+04,-5.361313343048095703e+00
1.323000488281250000e+04,-5.439633846282958984e+00
1.324041113281250000e+04,-5.324842453002929688e+00
1.325082519531250000e+04,-5.421633243560791016e+00
1.326124804687500000e+04,-5.357809543609619141e+00
1.327167773437500000e+04,-5.465239524841308594e+00
1.328211718750000000e+04,-5.400862216949462891e+00
1.329256445312500000e+04,-5.468282699584960938e+00
1.330301953125000000e+04,-5.420844078063964844e+00
1.331348339843750000e+04,-5.439414024353027344e+00
1.332395507812500000e+04,-5.454704284667968750e+00
1.333443457031250000e+04,-5.469885826110839844e+00
1.334492285156250000e+04,-5.462705612182617188e+00
1.335541894531250000e+04,-5.471674919128417969e+00
1.336592382812500000e+04,-5.511267662048339844e+00
1.337643750000000000e+04,-5.499713420867919922e+00
1.338695800781250000e+04,-5.529408454895019531e+00
1.339748828125000000e+04,-5.556954860687255859e+00
1.340802539062500000e+04,-5.512963294982910156e+00
1.341857128906250000e+04,-5.545697689056396484e+00
1.342912597656250000e+04,-5.540351867675781250e+00
1.343968847656250000e+04,-5.571580886840820312e+00
1.345025976562500000e+04,-5.549636840820312500e+00
1.346083886718750000e+04,-5.565130710601806641e+00
1.347142675781250000e+04,-5.599958896636962891e+00
1.348202246093750000e+04,-5.593400955200195312e+00
1.349262695312500000e+04,-5.580043792724609375e+00
1.350323925781250000e+04,-5.603214263916015625e+00
1.351386035156250000e+04,-5.610933303833007812e+00
1.352449023437500000e+04,-5.603629112243652344e+00
1.353512792968750000e+04,-5.598344802856445312e+00
1.354577343750000000e+04,-5.613720417022705078e+00
1.355642871093750000e+04,-5.620306015014648438e+00
1.356709082031250000e+04,-5.599164009094238281e+00
1.357776269531250000e+04,-5.614207267761230469e+00
1.358844238281250000e+04,-5.604943752288818359e+00
1.359912988281250000e+04,-5.637487888336181641e+00
1.360982617187500000e+04,-5.624345779418945312e+00
1.362053125000000000e+04,-5.636920928955078125e+00
1.363124414062500000e+04,-5.643668174743652344e+00
1.364196582031250000e+04,-5.667051792144775391e+00
1.365269628906250000e+04,-5.668810844421386719e+00
1.366343457031250000e+04,-5.652438163757324219e+00
1.367418164062500000e+04,-5.650408744812011719e+00
1.368493750000000000e+04,-5.668721199035644531e+00
1.369570117187500000e+04,-5.679683685302734375e+00
1.370647363281250000e+04,-5.679082393646240234e+00
1.371725390625000000e+04,-5.669643878936767578e+00
1.372804394531250000e+04,-5.680879592895507812e+00
1.373884179687500000e+04,-5.731068611145019531e+00
1.374964746093750000e+04,-5.692939758300781250e+00
1.376046289062500000e+04,-5.687296867370605469e+00
1.377128613281250000e+04,-5.705127239227294922e+00
1.378211816406250000e+04,-5.696362972259521484e+00
1.379295800781250000e+04,-5.728469371795654297e+00
1.380380664062500000e+04,-5.738772392272949219e+00
1.381466406250000000e+04,-5.717055320739746094e+00
1.382553027343750000e+04,-5.756631374359130859e+00
1.383640527343750000e+04,-5.738893032073974609e+00
1.384728808593750000e+04,-5.728234291076660156e+00
1.385817968750000000e+04,-5.762497901916503906e+00
1.386908007812500000e+04,-5.752735137939453125e+00
1.387998828125000000e+04,-5.735101222991943359e+00
1.389090527343750000e+04,-5.755334854125976562e+00
1.390183203125000000e+04,-5.797133922576904297e+00
1.391276562500000000e+04,-5.771268844604492188e+00
1.392370898437500000e+04,-5.794412612915039062e+00
1.393466113281250000e+04,-5.787587642669677734e+00
1.394562109375000000e+04,-5.812611579895019531e+00
1.395658984375000000e+04,-5.785712242126464844e+00
1.396756738281250000e+04,-5.806984424591064453e+00
1.397855371093750000e+04,-5.810001373291015625e+00
1.398954882812500000e+04,-5.805020809173583984e+00
1.400055273437500000e+04,-5.824590206146240234e+00
1.401156445312500000e+04,-5.819545269012451172e+00
1.402258496093750000e+04,-5.832223892211914062e+00
1.403361523437500000e+04,-5.824647903442382812e+00
1.404465332031250000e+04,-5.852446079254150391e+00
1.405570019531250000e+04,-5.827375411987304688e+00
1.406675488281250000e+04,-5.852666854858398438e+00
1.407781933593750000e+04,-5.876226902008056641e+00
1.408889257812500000e+04,-5.857897758483886719e+00
1.409997363281250000e+04,-5.849788665771484375e+00
1.411106445312500000e+04,-5.845748901367187500e+00
1.412216308593750000e+04,-5.825448036193847656e+00
1.413327148437500000e+04,-5.847487449645996094e+00
1.414438769531250000e+04,-5.890343666076660156e+00
1.415551367187500000e+04,-5.856775760650634766e+00
1.416664746093750000e+04,-5.812880516052246094e+00
1.417779003906250000e+04,-5.875505924224853516e+00
1.418894140625000000e+04,-5.843641281127929688e+00
1.420010156250000000e+04,-5.849852561950683594e+00
1.421127148437500000e+04,-5.837311744689941406e+00
1.422244921875000000e+04,-5.817103385925292969e+00
1.423363574218750000e+04,-5.863897800445556641e+00
1.424483105468750000e+04,-5.847994804382324219e+00
1.425603515625000000e+04,-5.849587440490722656e+00
1.426724804687500000e+04,-5.799736976623535156e+00
1.427847070312500000e+04,-5.786520957946777344e+00
1.428970117187500000e+04,-5.771515369415283203e+00
1.430094042968750000e+04,-5.848345279693603516e+00
1.431218945312500000e+04,-5.859442710876464844e+00
1.432344628906250000e+04,-5.862889289855957031e+00
1.433471289062500000e+04,-5.739395618438720703e+00
1.434598730468750000e+04,-5.901356697082519531e+00
1.435727148437500000e+04,-5.807674407958984375e+00
1.436856445312500000e+04,-5.758735656738281250e+00
1.437986621093750000e+04,-5.789781093597412109e+00
1.439117675781250000e+04,-5.750467777252197266e+00
1.440249609375000000e+04,-5.777282714843750000e+00
1.441382421875000000e+04,-5.683063507080078125e+00
1.442516113281250000e+04,-5.688865661621093750e+00
1.443650781250000000e+04,-5.721620559692382812e+00
1.444786230468750000e+04,-5.781530380249023438e+00
1.445922656250000000e+04,-5.770356178283691406e+00
1.447059960937500000e+04,-5.802614212036132812e+00
1.448198144531250000e+04,-5.796599864959716797e+00
1.449337207031250000e+04,-5.805060386657714844e+00
1.450477148437500000e+04,-5.843430042266845703e+00
1.451618066406250000e+04,-5.883738517761230469e+00
1.452759863281250000e+04,-5.887222766876220703e+00
1.453902539062500000e+04,-5.894615650177001953e+00
1.455046093750000000e+04,-5.920148849487304688e+00
1.456190527343750000e+04,-5.953141212463378906e+00
1.457335937500000000e+04,-5.944411754608154297e+00
1.458482128906250000e+04,-6.029037475585937500e+00
1.459629296875000000e+04,-5.999000549316406250e+00
1.460777441406250000e+04,-6.031422138214111328e+00
1.461926367187500000e+04,-6.070584774017333984e+00
1.463076269531250000e+04,-6.064968585968017578e+00
1.464227050781250000e+04,-6.092882633209228516e+00
1.465378710937500000e+04,-6.116998195648193359e+00
1.466531347656250000e+04,-6.112132072448730469e+00
1.467684863281250000e+04,-6.087928295135498047e+00
1.468839257812500000e+04,-6.051497459411621094e+00
1.469994531250000000e+04,-6.072112083435058594e+00
1.471150781250000000e+04,-6.087143421173095703e+00
1.472307910156250000e+04,-6.130629062652587891e+00
1.473466015625000000e+04,-6.130869388580322266e+00
1.474624902343750000e+04,-6.157908916473388672e+00
1.475784765625000000e+04,-6.110209941864013672e+00
