k,freq_hz,coherence
976,47656.25,0.883110762
977,47705.0781,0.934617698
978,47753.9062,0.909866273
979,47802.7344,0.921265185
980,47851.5625,0.921106696
981,47900.3906,0.910044432
982,47949.2188,0.871861875
983,47998.0469,0.850464284
984,48046.875,0.909559608
985,48095.7031,0.909574747
986,48144.5312,0.873641193
987,48193.3594,0.864656508
988,48242.1875,0.889091074
989,48291.0156,0.838275373
990,48339.8438,0.85706526
991,48388.6719,0.878151894
992,48437.5,0.8900792
993,48486.3281,0.906049371
994,48535.1562,0.91113472
995,48583.9844,0.888787329
996,48632.8125,0.909273922
997,48681.6406,0.858778596
998,48730.4688,0.865859926
999,48779.2969,0.884232998
1000,48828.125,0.847474337
1001,48876.9531,0.896522701
1002,48925.7812,0.873072743
1003,48974.6094,0.83810699
1004,49023.4375,0.840341091
1005,49072.2656,0.775230646
1006,49121.0938,0.770510733
